scheme_name,state,category,income_limit,education_level,benefits,documents_required,deadline
"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",Karnataka,"Agriculture,Rural & Environment, Social welfare & Empowerment",,State,"â‚¹ 1,00,000, in two installments of â‚¹ 50,000 each, as immediate relief assistance for the family (legal heir) of the missing fisherman. ï»¿ Disbursal Initially, 50% will be extended within 3 months from the date of receipt of the application from the family (legal heir). The family (legal heir) should approach this department for the release of the balance 50% of the relief which will be deposited in the bank in a joint account in the name of kin (legal heir) and the competent authority concerned. If no further information is received about the missing person, the balance amount will be released in favour of the next of kin (legal heir), after the prescribed period of 9 months from the date of release of 1st part of lump sum. *In case of the return of the missing fishermen, the amount extended as compensation either â‚¹ 50,000 or â‚¹ 1,00,000 as the case may be, will be recovered by invoking an insurance bond.","Photograph of the Family (Legal Heir) of the Missing Fisherman. Residential Certificate of the Missing Fishermen. Proof of Age of the Missing Fishermen. Declaration That the Missing Fisherman Was Not a Beneficiary of the Old Age Pension Scheme. Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society. Electoral Identity Card (Attested Copy) Ration Card (Attested Copy) Panchayatharâ€™s Letter of Village Concerned Name, Relationship, and Address of the Legal Heir (Affidavit in â‚¹ 5 Stamp Paper, Affixing as the Legal Heir Duly Signed in Before a Notary Public). â€˜No Claimâ€™ Certificate in Respect of Financial Assistance Extended by the Revenue Department Should Be Obtained From the Department of Revenue and Disaster Management. FIR and Non-traceable Certificate From Respective Station House Officer of Police Department. Statement of Next Kin of Missing Person, Statement of Panchayathars, Statement of Persons Who Have Lastly Seen the Missing Person. Advertisement/newspaper Report of the Missing Person in Gazette in Tamil/local Newspaper, Municipality/ Commune Panchayat Office, Ration Shop, and Police Station in the Vernacular Language.",
AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,Karnataka,Education & Learning,,Central,"Financial Assistance : Limit of funding â‚¹ 4,00,000/- to the institution. Disbursement of the Fund: The full amount of the grant sanctioned shall be released after successful conduct of the program to Indian Micro Enterprises Development Foundation (IMEDF). The amount spent by the institute on the conduct of STTP-SFURTI shall be adjusted on the basis of utilization certificate and detailed expenditure statement submitted by the IMEDF on the prescribed format along with other mandatory documents viz feedback form, copy of proceedings and completion report etc",Feedback Form Copy of Proceedings Completion Report ï»¿,
Burial and Ex-gratia Payment Scheme in Case of Death of Unregistered Laborer During Work at Construction Site,Karnataka,Social welfare & Empowerment,,State,"Funeral Assistance: â‚¹3,000 payable in case of death of a construction laborer. Grace Amount: Death due to an accident during construction work: â‚¹4,00,000/-. Permanent disability due to an accident during construction work: â‚¹2,00,000/-.",Aadhaar Card of the applicant (nominee/Legal heirs) Passport-size photograph Proof of residence Ration Card Bank account details Death certificate of worker Regular registration certificate of the worker Nominee/legal heir certificate F.I.R. And a copy of Panchnama. Post-mortem report in the state of death. Disability certificate obtained from District Medical Board in case of permanent disability.,
Consortia & Tender Marketing Scheme,Karnataka,Business & Entrepreneurship,,Central,Enlistment of the Unit for participating in Government/Private tenders. Benefit of 0.5% in service charges  to consortium members.,A passport size photograph of each of the Proprietor/Partner/Director/Society office bearers along with residential proof Self-attested copy of G.P. Registration Certificate Power of Attorney ( Annexure â€“ B )/Board Resolution ( Annexure â€“ C )/Society Resolution ( Annexure â€“ H ) authorizing the Partner/Director /Executive to deal with NSIC for enlistment/tender participation and consortium formation. Bank attested specimen signature of authorized persons. Copies of recent supply orders. Enlistment Fee.,
Garuda Scheme for Funeral Expense,Karnataka,Social welfare & Empowerment,,State,"Financial Assistance of â‚¹10,000/- for funeral expenses.",Passport-size Photograph of the Applicant Aadhar Card of the Applicant Aadhar Card of the Deceased White Ration Card/Income Certificate (issued by Mee Seva/Revenue Department) Caste Certificate (issued from Mee Seva) Residence Certificate (issued from Mee Seva) Birth Certificate (issued from Mee Seva) Income Certificate of the Applicant (issued by Mee Seva/Revenue Department) Passbook of SB Account in Andhra Bank or SBI (in the name of Applicant) Self-declaration (the applicant is the legal heir of the deceased Brahmin) Death Certificate of Deceased Brahmin (issued by any Government),
Incentive For The Intra Caste Marriage within Scheduled Tribe Community,Karnataka,Social welfare & Empowerment,,State,"An incentive of â‚¹2,00,000/- is provided to the married couple.",Aadhaar Card Bank Account Details Marriage Proof Marriage Photo Caste Certificate Income Certificate Resident Proof Any other documents as required ï»¿,
Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,Karnataka,Business & Entrepreneurship,,State,20% of Fixed Capital Investment on Plant and machinery.,"A copy of the Memorandum of Association and Articles of Association authenticated by the Registrar of Companies/ partnership deed (wherever applicable). A statement on the name and address of the Directors /Partners /Owners of the enterprise/ Members of Cooperative or Self Help Groups, as applicable. Copy of approved project report. A copy of loan sanctions letter and disbursement letter issued by financial institutions/ banks. Copy of agreement. A copy of the audited balance sheet for the last 2 years wherever applicable. Existing manufacturing activities in West Bengal stating items, annual approved capacity, annual production during the last three years (in quantity and value in Rs. Lakh), if applicable. Copy of the land deed (wherever applicable) (In case of rented /leasehold land / buildings, copy of rent agreement and receipt /lease agreement). Copy of mutation & conversion certificate of land/ building. Copy of valid consent to operate certificate from the WBPCB. Copies regarding SGST. Copy of Trade Licence. Copy of first electricity bill (wherever applicable). Copy of acknowledgement of Udyam Registration. Copy of SC /ST certificate wherever applicable. Copy of other statutory licenses/certificates, if necessary. â€œSelf declarationâ€ as per para 7.1(vi) of the Official Scheme Guidelines . Self certification on fixed assets as per Annexure-I .",
Indira Mahila Shakti Udyam Protsahan Yojana,Karnataka,Women and Child,,State,"Loan Limit Loan amount of â‚¹ 50,00,000/- to individual women. Loan amount of Rs 1,00,00,000/- to self-help groups. ï»¿ Margin Money A margin money of 25% of the sanctioned loan amount will be provided under the scheme. For women belonging to Scheduled Castes/Tribes, Scheduled Castes, widows, abandoned women, victims of violence and disabled women, the margin money will be 30% of the sanctioned loan amount. Note : The maximum limit of margin money will be â‚¹ 15,00,000/-. The applicant's own contribution (5% / 10% of the project proposal) will be considered for margin money. Land value will not be included in the project proposal. The maximum limit of loan amount payable for construction of workshop/building will be up to 20% of the sanctioned amount of the project proposal. The maximum limit of loan for business will be Rs. 10 lakh. Business refers to wholesale or retail purchase-sale of commercial products. ï»¿ Promotion of collateral security free loans: As per the guidelines of the Reserve Bank of India, collateral security will not be required for loans up to Rs. 10 lakh. Loans above Rs. 10 lakh can be linked with the Credit Guarantee Trust Fund for Micro and Small Enterprises (CGTMSE). The fee amount will be borne by the beneficiary. If the applicant voluntarily wants to give collateral security on the loan, they can do so. ï»¿",Aadhar card. Address proof. Bank account statement. Passport size photo. Mobile number.,
Mukhyamantri Shramik Aujaar Sahayata Yojana,Karnataka,Social welfare & Empowerment,,State,Tool kits can given free of cost to the registered construction worker.,Bank passbook photocopy. Self-declaration certificate in the prescribed form issued by the government in respect of the employer. Worker's Aadhaar Card. Birth Certificate. Passport-size photograph. Residence Poof. Labour card.,
Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,Karnataka,Health & Wellness,,State,"Pradhan Mantri Suraksha Bima Yojana (PMSBY) 100% reimbursement of annual premium amount (â‚¹12) Premium amount is fully reimbursed through electronic transfer No partial reimbursement option is available Beneficiary must show proof of premium deduction in bank passbook Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) 50% reimbursement of the annual premium amount Total premium: â‚¹330 Reimbursement amount: â‚¹165 Remaining â‚¹165 to be borne by the beneficiary Must provide proof of full premium deduction from bank account Atal Pension Yojana (APY) 50% reimbursement of the annual contribution amount Specifically for the â‚¹1,000 monthly pension plan Reimbursement is calculated based on the average annual contribution Beneficiary must continue paying their share to maintain scheme validity Must show proof of contribution deduction from bank account","Copy of Beneficiary Registration Identity Card. Copy of Bank Passbook First Page (showing beneficiary's name, account number, and IFSC code). Copy of Bank Passbook Page Showing Premium/Contribution Deduction Details. Copy of Aadhaar Card and Bhamashah Card (Optional).",
Pre-Matric Scholarship for Backward Class Students,Karnataka,Education & Learning,,State,"Classes 6th to 8th Boys: â‚¹20/- per month Girls: â‚¹30/- per month Classes 9th to 10th Boys: â‚¹30/- per month Girls: â‚¹40/- per month NOTE:  The scheme is individual in nature, covering all of Madhya Pradesh. Scholarships are awarded for 10 months annually and paid in one installment on 30th September.","Caste Certificate Income Certificate Land Ownership Proof (Showing Less Than 10 Acres of Land) Bank Account Details Application Form in the Prescribed Format Bonafide Certificate or Proof of Admission in School Proof of Age or Date of Birth (e.g., Birth Certificate or School Records) Academic Records (If Applicable)",
Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,Karnataka,Education & Learning,,State,"The fee for special coaching for admission in engineering, medical, CA and MBA or other professional education to the son/daughter (two children) studying in class 10th and above will be paid by the board.",Aadhar card. Labor registration Card. Scholarship application form Student's birth certificate Mark certificate of previous year exam.,
The West Bengal Incentive Scheme: Additional Incentive for Adventure Tour Operators,Karnataka,Business & Entrepreneurship,,State,Group A: 60% Group B: 70% Group C: 80% Group  D: 90% Special Areas: 100%,"Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.). Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the Waiver of Electricity Duty : Schedule of the adventure sports equipment purchased. Documents showing cost & dates of procurement of the equipment. Copy of acknowledgement of furnishing of return. Documents showing payment of SGST. Certificate to be issued by the Director of Tourism, Govt. of West Bengal, as per Annexure-A (format is available for download in attachment section). ï»¿",
